PRODUCT_ID	CUST_ID	EMPLOYEE_ID	DEALERSHIP_ID	TRANSACTION_DATE	HOLDBACK	REBATE	SELLING_PRICE	DELIVERY_CHARGES	QUANITITY	DISCOUNT
1	1	1	1	06/17/2016 00:00:00	5	2	150	25	20	2
2	2	2	2	09/21/2016 00:00:00	15	4	450	60	40	4
3	3	3	3	01/13/2016 00:00:00	25	6	750	70	30	6
4	4	4	4	09/21/2016 00:00:00	45	8	1050	90	10	8
5	5	5	5	05/21/2016 00:00:00	55	10	1350	150	50	10
6	6	6	6	06/25/2016 00:00:00	68	12	1650	25	39	12
7	7	7	7	09/28/2016 00:00:00	81	14	1950	60	42	7
8	8	8	8	08/17/2016 00:00:00	94	16	2250	70	45	4
9	9	9	9	08/17/2016 00:00:00	107	18	2550	90	48	3
10	10	10	10	08/16/2016 00:00:00	120	20	2850	150	51	5
11	11	11	11	09/28/2016 00:00:00	133	22	3150	25	54	1
12	12	12	12	09/30/2016 00:00:00	146	24	3450	60	57	2
13	13	13	13	09/28/2016 00:00:00	159	26	3750	70	60	4
14	14	14	14	09/21/2016 00:00:00	172	28	4050	90	63	6
15	15	15	15	05/18/2016 00:00:00	185	30	4350	150	66	8
16	16	16	16	05/18/2016 00:00:00	198	32	4650	25	69	10
17	17	17	17	12/24/2016 00:00:00	211	34	4950	60	72	12
18	18	18	18	07/24/2016 00:00:00	224	36	5250	70	75	7
19	19	19	19	11/15/2016 00:00:00	237	38	5550	90	78	4
20	20	20	20	05/18/2016 00:00:00	250	40	5850	150	81	3
21	21	21	21	07/18/2016 00:00:00	263	42	6150	25	84	5
22	22	22	22	08/20/2016 00:00:00	276	44	6450	60	87	1
23	23	23	23	11/16/2016 00:00:00	289	46	6750	70	90	2
24	24	24	24	11/16/2016 00:00:00	302	48	7050	90	93	4
25	25	25	25	11/16/2016 00:00:00	315	50	7350	150	96	6
26	26	26	26	07/16/2016 00:00:00	328	52	7650	25	99	8
27	27	27	27	09/28/2016 00:00:00	341	54	7950	60	102	10
28	28	28	28	01/14/2016 00:00:00	354	56	8250	70	105	12
29	29	29	29	01/14/2016 00:00:00	367	58	8550	90	108	7
30	30	30	30	08/20/2016 00:00:00	380	60	8850	150	111	4
31	31	31	31	10/30/2016 00:00:00	393	62	9150	25	114	3
32	32	32	32	02/16/2016 00:00:00	406	64	9450	60	117	5
33	33	33	33	01/24/2016 00:00:00	419	66	9750	70	120	1
34	34	34	34	06/14/2016 00:00:00	432	68	10050	90	123	2
35	35	35	35	08/26/2016 00:00:00	445	70	10350	150	126	4
36	36	36	36	08/20/2016 00:00:00	458	72	10650	25	129	6
37	37	37	37	08/20/2016 00:00:00	471	74	10950	60	132	8
38	38	38	38	07/14/2016 00:00:00	484	76	11250	70	135	10
39	39	39	39	10/26/2016 00:00:00	497	78	11550	90	138	12
40	40	40	40	02/16/2016 00:00:00	510	80	11850	150	141	7
41	41	41	41	03/15/2016 00:00:00	523	82	12150	25	144	4
42	42	42	42	10/17/2016 00:00:00	536	84	12450	60	147	3
43	43	43	43	01/29/2016 00:00:00	549	86	12750	70	150	5
44	44	44	44	03/15/2016 00:00:00	562	88	13050	90	153	1
45	45	45	45	06/21/2016 00:00:00	575	90	13350	150	156	2
46	46	46	46	08/17/2016 00:00:00	588	92	13650	25	159	4
47	47	47	47	08/17/2016 00:00:00	601	94	13950	60	162	6
48	48	48	48	08/17/2016 00:00:00	614	96	14250	70	165	8
49	49	49	49	10/15/2016 00:00:00	627	98	14550	90	168	10
50	50	50	50	01/29/2016 00:00:00	640	100	14850	150	171	12
51	51	51	51	01/30/2016 00:00:00	653	102	15150	25	174	7
52	52	52	52	03/24/2016 00:00:00	666	104	15450	60	177	4
