EMPLOYEE_ID|SALARY
|50000
|60000
3|70000
4|
5|90000
6|100000
7|110000
8|120000
9|130000
10|140000
11|150000
12|160000
13|170000
14|6000
15|7000
16|8000
17|11000
18|9000
19|17000
20|20000
21|23000
22|26000
23|29000
24|32000
25|35000
26|38000
27|41000
28|44000
29|47000
30|3000
31|3500
32|4000
33|4500
34|5000
35|5500
36|6000
37|6500
38|7000
39|7500
40|8000
41|8500
42|9000
43|9500
44|10000
45|10500
46|11000
47|11500
48|12000
49|12500
50|13000
51|13500
52|14000
53|14500
54|15000
55|15500
56|16000
57|16500
58|17000
59|17500
60|18000
61|18500
62|19000
63|19500
64|20000
65|20500
66|21000
67|21500
68|22000
69|22500
70|23000
71|23500
72|24000
73|24500
74|25000
75|25500
76|26000
77|26500
78|27000
79|27500
80|28000
81|28500
82|29000
83|29500
84|30000
85|30500
86|31000
87|6000
88|7000
89|8000
90|9000
91|10000
92|11000
93|12000
94|13000
95|14000
96|15000
97|16000
98|17000
99|18000
100|19000
101|20000
102|21000
103|22000
104|23000
105|24000
106|2500
107|5800
